Size_SqFt,Bedrooms,Bathrooms,Age_Years,Location,Proximity_Amenities,House_Price,Garage,Garden,Floor_Level
1849.4481522053557,1,1,41,Urban,Low,252330.48,No,Yes,1
1260.7390048162863,5,2,60,Urban,Low,203133.04,No,Yes,5
1640.0778958026458,2,1,85,Rural,Low,179997.27,Yes,Yes,5
1769.6806145201062,2,3,66,Suburban,Low,232989.25,Yes,No,3
2528.561113109458,1,2,1,Urban,Medium,432868.49,Yes,No,1
2171.8091447842307,1,1,95,Urban,Low,273347.92,No,No,4
1118.479922318633,3,3,59,Suburban,High,181996.36,Yes,Yes,5
2162.0419846973973,2,3,9,Suburban,Low,342517.64,Yes,Yes,5
1807.4588597918419,3,1,98,Urban,Low,220593.5,Yes,No,5
1661.5389998470207,4,2,91,Urban,Medium,239312.69,Yes,No,5
2305.8381444204338,4,3,47,Urban,High,373938.01,Yes,No,3
2515.4997612479756,1,2,3,Urban,High,433224.07,No,Yes,5
2465.6400595580994,5,2,74,Urban,Low,373083.64,No,No,5
1580.3912383886807,1,1,21,Suburban,Medium,254778.14,No,No,3
1845.3938120743928,2,3,48,Suburban,Medium,281570.38,No,Yes,1
2165.631715701782,1,1,30,Rural,Medium,304922.6,No,Yes,1
2487.7725635611796,3,2,41,Urban,Medium,401677.54,Yes,No,5
1760.412881077355,1,1,59,Rural,Low,198910.29,Yes,No,5
1907.1705116680914,3,3,31,Urban,High,340799.89,Yes,No,5
1446.8325129969858,4,3,33,Rural,Low,226957.85,No,Yes,2
1401.8966879596646,3,2,74,Rural,High,183131.66,Yes,No,1
2406.262911197099,2,2,16,Urban,Medium,413577.12,Yes,No,4
2678.1200142854113,1,2,59,Suburban,Medium,387939.38,No,Yes,2
1963.994939209833,2,2,19,Suburban,High,332528.07,No,Yes,1
2501.766448946012,3,3,63,Suburban,High,362371.3,Yes,Yes,3
2180.818012523817,3,2,47,Suburban,Medium,329699.55,No,Yes,5
1677.4401226974378,3,1,98,Urban,Medium,220177.04,Yes,Yes,4
2180.697802754207,3,2,63,Rural,Medium,301459.59,No,No,1
2769.0182832329847,3,2,12,Rural,Medium,431227.0,No,Yes,5
1982.0869804450242,1,1,24,Suburban,Medium,300708.36,No,No,1
2782.3218279070034,5,1,94,Suburban,High,408203.1,No,Yes,3
690.1274479551278,2,2,79,Urban,High,89755.72,Yes,No,3
2410.9512521876118,4,2,20,Suburban,High,408522.96,Yes,Yes,2
2043.5235341190855,4,3,73,Urban,Medium,312581.38,No,No,5
1850.4963247670662,2,2,96,Rural,Medium,226676.24,Yes,Yes,3
2045.8803882677512,1,3,38,Suburban,High,328650.83,No,Yes,4
1006.2155426995536,2,1,45,Suburban,Low,126001.39,No,Yes,2
1890.164056081244,3,1,49,Urban,Low,271443.1,Yes,No,1
2178.5562857558734,5,1,94,Suburban,High,327790.58,No,Yes,4
2738.947022370758,2,2,14,Urban,Low,444838.28,No,No,5
1740.8648908631762,1,2,8,Rural,High,281425.04,No,Yes,2
1595.7531985534063,3,3,75,Suburban,High,226897.37,No,Yes,1
1749.1214782077318,2,2,45,Rural,High,250388.37,No,Yes,3
2457.701058851037,2,2,80,Urban,High,362180.63,No,No,4
2164.3755548298423,3,3,22,Suburban,Low,327370.07,No,Yes,4
1735.1198981164807,1,1,34,Rural,High,264879.42,Yes,Yes,5
2256.633716556678,5,1,31,Suburban,Low,366332.71,No,No,4
2048.5387746740203,5,3,2,Rural,Medium,368219.68,Yes,No,5
2484.3224952664445,3,3,87,Rural,Low,310280.07,Yes,Yes,3
1648.9734530613239,4,3,11,Urban,Medium,314962.09,No,No,2
1836.1689267011159,1,3,60,Suburban,High,261302.45,No,No,3
1803.9459234339213,4,2,24,Rural,Medium,294577.23,No,No,2
1268.2425259339407,4,3,67,Urban,High,203023.49,No,No,5
2148.060138532288,4,2,96,Rural,Medium,273801.43,Yes,No,4
2130.5276360899447,1,1,0,Rural,Medium,315869.44,Yes,Yes,1
2002.5567283212304,4,1,32,Suburban,High,342153.62,No,Yes,3
1882.7064333124265,3,1,54,Urban,High,296853.88,Yes,No,2
1292.3146289747929,2,2,48,Urban,High,199186.77,Yes,No,2
1789.6773386173204,3,2,83,Suburban,Low,229054.05,Yes,No,2
1828.6427417366153,2,3,48,Rural,Low,273175.72,No,No,3
1598.8613653891905,5,1,7,Urban,Medium,301379.19,No,No,3
1919.3571441669953,4,2,61,Suburban,Low,283429.88,No,Yes,2
2202.0254284072694,5,1,83,Rural,High,310663.65,No,No,5
2943.0929506052653,5,1,62,Urban,High,463099.48,Yes,No,1
2087.2889064159194,1,1,67,Urban,High,297732.89,No,No,1
2128.775195361382,4,1,30,Suburban,High,366690.62,No,Yes,5
1962.7770421169164,5,2,66,Rural,High,300200.89,Yes,Yes,2
1040.6143923504792,2,1,45,Urban,High,158443.88,Yes,No,2
1986.7430622753916,2,1,71,Suburban,High,290853.98,No,Yes,5
2030.1151049705131,1,3,80,Urban,Medium,280336.9,No,No,5
3231.621056242643,5,3,46,Rural,Low,480292.89,Yes,No,3
1903.8195176094387,5,1,6,Rural,Low,329148.72,Yes,Yes,5
2150.7736711668063,5,3,9,Suburban,High,393528.57,Yes,Yes,4
1982.6441151473784,1,1,38,Urban,High,308948.36,Yes,Yes,5
1415.660981190234,4,2,70,Suburban,Medium,198318.2,Yes,No,3
2571.4114072575103,5,1,49,Suburban,High,404538.55,No,Yes,1
2375.966516343387,5,3,3,Urban,High,450890.64,No,No,3
2395.5159735215234,3,2,64,Rural,Medium,343101.05,Yes,No,1
1545.3062726026305,2,1,23,Urban,High,248990.44,No,Yes,5
2701.3971554680497,4,2,20,Rural,High,446549.83,Yes,Yes,3
1299.0744686038597,4,1,37,Suburban,Medium,222038.63,Yes,Yes,2
2293.428546900135,4,3,5,Urban,High,427066.77,No,No,5
3095.227812904989,5,2,28,Rural,Low,475631.71,Yes,Yes,1
1504.7318374346557,3,1,54,Rural,Low,184039.99,No,Yes,2
1716.851135198614,4,3,65,Rural,Low,235900.06,Yes,Yes,5
2049.8256825438207,1,3,82,Rural,High,259754.0,Yes,No,1
1748.2621729419004,1,2,37,Urban,Medium,265298.76,No,No,2
1224.6682844669335,2,1,46,Urban,Medium,206762.54,No,Yes,4
2034.2814874030137,3,2,11,Urban,Low,322100.67,Yes,Yes,2
1468.8481431369476,4,3,16,Urban,Medium,283043.65,Yes,Yes,4
2236.796215317591,3,2,25,Suburban,Medium,360755.24,No,No,1
1540.2878828830985,1,3,44,Rural,High,223318.51,No,Yes,3
2774.96720250877,4,2,84,Urban,Medium,409778.15,No,No,2
1608.3733538318816,5,3,25,Urban,High,303515.09,No,Yes,1
1838.9692418971622,1,3,20,Urban,Low,276893.66,No,Yes,2
2406.758608684835,2,3,43,Suburban,High,380500.62,No,No,1
1384.5678417830222,4,1,41,Urban,Low,234780.5,No,Yes,2
2113.729967302065,2,2,84,Urban,Medium,291876.47,No,Yes,4
2653.571377141214,3,3,77,Rural,Low,341179.43,Yes,No,2
1196.2583827193862,2,2,34,Urban,High,208490.05,Yes,No,4
2092.3169292661523,2,1,15,Suburban,Low,320716.55,No,No,1
2129.9413971242116,5,2,12,Suburban,Medium,380386.68,No,No,3
2390.9114358886554,2,2,36,Urban,Medium,364354.31,Yes,No,5
1381.5246445609591,5,1,61,Urban,Medium,241019.86,No,Yes,4
1339.7716934578618,2,2,70,Rural,High,191751.26,Yes,Yes,4
2260.970782808449,5,1,31,Suburban,High,391058.77,No,No,5
2148.492336616593,1,2,57,Suburban,Low,277970.86,Yes,No,3
2125.2464251729384,5,1,1,Suburban,Low,380314.34,No,No,2
2173.2241047484877,1,1,47,Suburban,High,324955.99,No,No,4
1659.9876392107547,1,2,53,Urban,Medium,239707.65,Yes,Yes,1
2116.1268485805017,4,1,64,Suburban,Medium,305184.87,Yes,Yes,1
2146.5362366493405,1,2,71,Rural,High,254059.51,No,Yes,2
1642.824290986816,4,3,44,Suburban,Medium,270963.88,No,No,3
2932.8872555723783,5,2,34,Rural,Low,440679.95,Yes,Yes,1
2236.9164604558937,3,3,93,Suburban,Low,291453.18,Yes,Yes,5
1404.3482513986755,4,1,32,Urban,Low,217624.22,No,No,4
2328.276804316915,3,3,21,Urban,High,409250.45,No,Yes,2
1512.6591648863393,5,1,90,Suburban,Medium,212553.38,Yes,Yes,2
2393.542301871226,4,2,71,Suburban,Medium,353242.48,Yes,Yes,2
2579.297789503702,5,2,45,Rural,Low,395807.12,No,No,2
1589.6588408241448,3,2,21,Urban,Low,264022.78,No,No,4
2481.6880646221607,5,3,6,Urban,Low,458337.29,Yes,Yes,4
2206.390463468249,3,3,61,Suburban,High,347211.83,No,Yes,3
2411.030079997245,1,1,42,Rural,Low,314626.68,Yes,Yes,5
2948.396491326974,3,3,94,Suburban,Low,392986.24,Yes,Yes,4
1877.3059419985648,3,1,96,Rural,High,240461.47,Yes,Yes,4
1623.1319178212552,1,2,53,Suburban,Low,208009.59,No,Yes,4
1555.2427851872383,4,3,6,Urban,High,332074.99,No,Yes,4
1592.0948575172808,2,1,78,Suburban,Low,182859.48,No,No,5
1961.4491452929478,4,3,54,Rural,Low,278555.15,No,No,2
2170.575987408322,2,3,3,Suburban,Low,363440.94,Yes,No,1
2138.3453996650096,1,2,74,Suburban,High,310097.6,No,No,1
2413.591624518012,4,1,22,Suburban,High,411913.52,No,No,3
2006.5009459389535,5,2,40,Suburban,High,349831.28,No,Yes,5
2726.7670385786587,5,1,70,Suburban,High,419811.63,Yes,Yes,2
1867.671583381022,4,2,46,Urban,High,332526.71,No,Yes,3
3360.0845832948094,5,3,56,Suburban,Medium,531837.37,Yes,Yes,2
2312.8336738825033,1,1,44,Rural,Medium,310835.3,No,No,5
1571.4212217918587,5,2,91,Rural,High,209893.12,No,No,5
1464.5537509694439,5,1,65,Suburban,Medium,220700.78,No,No,1
2241.2362076215927,2,1,60,Rural,Medium,284006.79,Yes,Yes,4
1888.2686073370746,2,1,16,Suburban,Medium,306814.11,Yes,Yes,1
2357.000247046046,3,1,23,Rural,Medium,357996.62,No,Yes,2
2236.6188122867725,1,1,46,Rural,High,321672.28,No,No,4
1963.5855436715635,5,2,44,Suburban,High,344000.89,Yes,Yes,1
1576.6031409657976,1,2,58,Rural,Low,182867.57,Yes,Yes,4
1242.5763876570677,1,2,95,Urban,Low,128321.83,Yes,Yes,1
1776.7425239664894,2,1,34,Rural,Medium,269822.08,Yes,No,1
2428.199397161736,5,2,64,Urban,Low,365499.08,Yes,No,4
2107.046872065102,3,3,18,Rural,High,342933.71,No,Yes,2
1377.130610644006,4,3,22,Rural,Low,232215.87,Yes,Yes,4
2086.590462925591,3,1,79,Suburban,Low,266574.5,Yes,Yes,3
2192.658689864418,2,2,31,Rural,Medium,319181.09,No,Yes,5
1558.0712818994334,3,3,34,Urban,Medium,285373.55,Yes,No,3
2076.8625529727638,2,1,40,Rural,Medium,311146.34,No,No,5
2029.1043592229998,2,2,81,Urban,High,272496.3,Yes,Yes,4
1428.5148510846884,1,2,7,Rural,Low,200282.39,No,No,1
2178.8936801741415,5,2,84,Rural,High,335726.26,No,No,3
2280.3922631841174,4,2,11,Suburban,Low,377190.21,Yes,No,1
2541.5256215876384,2,2,99,Suburban,Low,312295.78,No,Yes,5
2526.9010260174514,2,3,93,Rural,High,312758.2,Yes,Yes,4
1311.1653160214546,1,1,99,Urban,Medium,150103.48,No,Yes,2
1531.0874800424385,4,2,35,Suburban,High,255151.1,Yes,No,5
2257.51763360433,2,3,47,Suburban,Medium,347063.31,No,Yes,4
2256.8929754561045,5,3,49,Rural,Medium,355589.6,Yes,Yes,4
2257.523843153024,5,2,5,Suburban,Medium,403705.09,Yes,No,4
3926.365745327361,1,1,84,Rural,Low,514120.3,No,Yes,5
2285.4452553465835,2,2,76,Rural,Medium,288356.48,No,Yes,5
2567.7828200902995,4,2,45,Urban,Low,379849.55,Yes,Yes,4
2477.0008817466014,1,1,75,Rural,Low,309084.07,Yes,Yes,3
2325.6956256528993,1,3,54,Urban,Low,330789.49,Yes,Yes,2
1842.3653776798271,3,2,89,Urban,Medium,246981.47,Yes,Yes,5
2379.4846102466336,1,2,30,Suburban,Medium,366654.14,No,No,2
1613.587392731214,3,2,92,Rural,Low,200605.75,Yes,Yes,2
1881.5906966299956,3,2,25,Rural,Medium,289748.73,No,Yes,2
1757.3182260854483,2,3,66,Rural,Medium,235150.02,Yes,Yes,4
2040.9370696931612,5,3,8,Suburban,Low,358947.35,No,Yes,5
3157.329283336754,4,1,6,Suburban,Low,506433.88,Yes,Yes,4
1066.367403704126,1,3,14,Rural,Low,156945.91,Yes,Yes,1
2343.1300951872568,2,2,70,Urban,Low,321782.75,Yes,Yes,3
1193.642064405174,4,3,7,Urban,Medium,252489.13,Yes,Yes,3
1764.0340671052832,1,1,94,Rural,High,192735.94,Yes,Yes,1
2544.475298483683,5,2,38,Rural,Medium,413965.29,No,No,2
2032.1400095477313,5,3,10,Rural,Low,348112.69,Yes,No,1
1461.127611035347,3,1,48,Suburban,Medium,226985.91,No,No,5
1642.348145370016,3,3,75,Rural,Medium,213521.03,No,No,1
2339.798874467338,4,2,89,Suburban,High,340112.06,No,Yes,5
1634.8166841414318,1,1,80,Suburban,High,203777.96,No,No,1
2108.2292947909873,3,3,94,Urban,High,305625.68,No,No,5
2022.7859199519069,2,2,87,Suburban,Low,263206.35,No,Yes,4
1674.1998261970914,3,1,71,Urban,High,253480.5,No,No,4
3071.972044662663,4,2,2,Suburban,Medium,522249.06,Yes,No,2
2316.9595111590056,2,2,82,Rural,Low,277446.05,No,Yes,1
987.4287066711964,5,2,58,Rural,Low,135537.16,Yes,Yes,2
2093.227157384714,2,2,79,Urban,Low,271612.88,Yes,No,1
1669.106767615806,4,1,74,Rural,High,245472.98,No,Yes,3
2426.216667398112,5,2,82,Suburban,Low,341861.49,No,Yes,3
1603.7396307836498,1,3,27,Suburban,Low,247168.64,Yes,Yes,3
1942.6317792665504,4,2,86,Urban,Medium,272498.73,Yes,Yes,3
2252.4936394902284,3,3,41,Urban,High,369243.74,No,No,5
2432.8775970850606,4,3,46,Suburban,High,384817.38,Yes,Yes,1
1399.8517964721118,4,3,92,Suburban,Low,174296.97,Yes,No,3
1832.7493820795257,4,2,9,Rural,Medium,304588.56,No,Yes,1
1762.5273444195218,5,2,30,Suburban,Medium,298419.97,No,No,1
1673.335383713144,4,3,61,Rural,Low,242527.1,No,Yes,4
2882.7271201405483,1,2,20,Urban,High,462622.83,Yes,Yes,2
2202.490855480478,4,3,57,Rural,Low,314263.87,No,No,4
1369.5580228324775,3,2,83,Urban,Low,169580.38,No,No,3
2458.9309735273882,2,2,74,Rural,High,345099.04,No,No,1
3061.0780985063166,5,1,4,Urban,Low,511837.83,No,No,2
2516.2326302755737,3,3,5,Suburban,High,440732.2,No,No,4
1240.3150170229933,1,1,62,Urban,Low,143250.94,No,Yes,3
1757.8829635668744,4,2,54,Rural,Medium,247028.34,Yes,No,4
2633.455574593311,5,1,53,Rural,Low,385902.89,Yes,No,1
1646.1652671906097,5,1,82,Rural,Medium,221344.61,No,No,4
2221.909714073114,5,2,49,Urban,High,383554.39,Yes,Yes,1
2387.3170267146684,3,1,60,Urban,Low,337609.66,Yes,Yes,2
1536.5347642109587,2,3,86,Suburban,High,197963.13,Yes,No,2
1970.2373219690999,2,3,54,Rural,High,302492.16,Yes,No,3
500.0,1,2,14,Suburban,Low,59984.69,Yes,No,2
1487.8061793328552,3,2,34,Urban,High,268146.25,Yes,Yes,3
1873.7159243034198,3,2,63,Urban,High,291931.23,Yes,Yes,5
1376.1084090175752,3,1,32,Suburban,Medium,218068.06,Yes,Yes,4
2816.2056519658177,4,3,46,Suburban,Medium,459943.44,No,Yes,1
1284.9293110196836,3,1,82,Rural,Low,125234.85,Yes,No,3
1779.9777566515081,3,2,92,Urban,High,261776.17,Yes,Yes,5
2065.3702886430456,5,3,14,Suburban,Low,361462.18,Yes,Yes,3
2720.6366445330577,5,2,17,Suburban,Medium,485517.39,Yes,Yes,5
1282.0689244102803,5,1,89,Suburban,Medium,169424.21,Yes,No,5
2581.58187607748,3,2,81,Urban,Low,349303.15,Yes,Yes,2
2005.1165305097936,3,1,21,Urban,Low,307615.5,No,Yes,3
1509.2456744760245,5,3,2,Rural,High,296568.56,No,Yes,2
2231.0517371316355,1,1,1,Urban,Medium,356934.78,Yes,Yes,3
2099.529847786735,1,3,72,Urban,High,293211.18,No,Yes,2
1699.8915614206026,2,3,42,Rural,Medium,275583.47,Yes,No,4
2034.9010424950095,4,3,44,Urban,Medium,356040.23,Yes,Yes,1
1807.3432015691199,4,1,93,Rural,Low,209656.75,Yes,Yes,2
2056.758672625624,2,1,8,Suburban,High,350817.54,No,No,1
2331.0653372605234,5,1,43,Urban,Low,363789.17,Yes,No,4
2793.008408072676,5,3,37,Urban,Medium,481396.17,Yes,Yes,1
1381.0922505865756,3,1,16,Rural,Low,212787.46,No,No,2
3066.5166873281332,4,2,58,Urban,Low,479970.16,Yes,Yes,4
1023.9561002387491,3,3,73,Suburban,High,152142.35,No,No,5
1924.1074524822084,3,2,49,Rural,Low,258433.4,Yes,Yes,2
2294.1586032422883,4,1,61,Suburban,High,373718.18,No,Yes,5
2140.495933867516,5,1,9,Suburban,Low,365590.25,No,Yes,1
1688.6502400897032,1,1,23,Rural,Low,234431.35,No,No,4
1895.9388748213623,5,2,80,Suburban,Low,267958.54,Yes,Yes,2
1753.4995326705837,5,1,59,Suburban,High,290438.85,Yes,Yes,5
1705.3176215278943,3,2,7,Suburban,Medium,304735.21,No,No,4
2424.8010485105124,3,1,18,Rural,Medium,390304.56,No,No,4
2178.5077429825237,3,1,78,Rural,High,289050.17,No,Yes,4
1653.545202369673,4,3,85,Rural,Medium,218170.47,Yes,Yes,1
2449.799937716625,4,3,10,Suburban,High,420397.46,No,No,5
2153.649760438305,2,1,43,Suburban,Medium,329386.29,No,No,5
2406.43105941948,3,2,12,Urban,Medium,409659.52,Yes,Yes,2
2314.8144209618063,4,2,79,Urban,Low,336526.37,No,Yes,5
1585.502494538964,2,1,93,Rural,High,188330.96,No,No,1
1719.9094799015152,3,3,1,Rural,Medium,300185.46,Yes,No,3
2373.646802561631,3,1,48,Urban,Low,345555.13,No,No,5
2305.1851327167324,1,3,62,Rural,High,310606.15,No,No,5
1989.549203017926,4,3,66,Rural,Medium,282328.29,Yes,Yes,2
2058.663691654391,2,3,16,Urban,Low,340668.96,No,No,2
2638.8324478942122,3,2,33,Urban,Low,435521.11,No,No,2
1704.214305582085,4,3,79,Urban,Low,259886.3,Yes,No,3
2273.548690585019,2,2,42,Urban,Low,322345.69,No,No,2
1898.903673783053,1,1,34,Suburban,Medium,262018.18,No,Yes,5
1891.15939838639,2,1,84,Urban,Medium,230015.69,No,No,3
2549.388425993595,3,3,45,Rural,Low,363041.98,No,Yes,1
2412.708174494015,5,2,57,Suburban,High,386835.36,No,No,4
2406.754818000319,5,2,87,Rural,Medium,334125.27,Yes,Yes,1
2652.7394035771645,1,2,94,Suburban,Medium,322561.88,No,Yes,1
2010.5019208163794,3,2,77,Rural,Medium,274076.13,No,Yes,5
2340.976485647482,3,3,55,Urban,Medium,350075.78,No,Yes,2
1844.866621703272,4,3,41,Urban,Low,305093.5,No,Yes,2
2162.0831762442212,5,3,15,Suburban,Medium,397546.81,Yes,No,2
1934.9284728161576,4,2,91,Suburban,High,285256.26,No,No,5
2048.497982496359,3,3,58,Urban,Medium,328123.86,Yes,Yes,2
2297.5785127184568,1,2,37,Rural,Low,331689.31,Yes,Yes,5
1590.8896583832638,5,3,25,Rural,Low,257972.19,Yes,Yes,1
3046.19363784273,4,1,21,Rural,Medium,464998.31,Yes,Yes,1
1496.991309250149,1,1,23,Suburban,Low,214891.51,Yes,Yes,1
1392.9056936061338,3,1,61,Suburban,Low,185360.58,No,No,2
2579.055436750034,2,3,98,Urban,High,383353.47,No,No,5
2395.831346981468,2,1,31,Suburban,High,385941.72,Yes,Yes,2
2312.0599085260774,5,3,64,Rural,Medium,351094.74,Yes,Yes,1
2314.17275463214,1,1,29,Suburban,Low,359490.7,Yes,No,4
1993.8766135765427,4,1,12,Suburban,High,361746.56,No,No,2
1551.3728142570842,1,1,48,Urban,Low,210144.35,No,Yes,3
2037.9022790968631,5,1,51,Suburban,High,332948.1,Yes,No,5
1661.4191442439442,3,2,11,Rural,High,280856.99,No,No,3
2487.5598667088757,1,3,35,Rural,Medium,370605.53,Yes,No,4
1926.4713092489308,5,2,55,Rural,High,283536.69,No,No,3
1587.2514016037442,5,1,98,Rural,High,222035.7,Yes,Yes,4
1839.3070791735033,4,2,63,Rural,Low,252319.46,Yes,No,2
2206.4657271378123,3,3,87,Urban,High,339812.69,Yes,No,5
1718.1377235980126,1,3,0,Urban,High,293585.38,Yes,Yes,1
1588.8898022167843,5,1,20,Rural,Low,258852.1,No,Yes,4
2121.843605745956,3,1,14,Suburban,Medium,356470.61,No,Yes,3
2122.4832855543614,4,1,96,Suburban,Low,280791.04,Yes,Yes,5
1746.5284123144352,5,3,59,Suburban,Medium,282596.15,No,No,3
1764.4808471908386,4,1,78,Suburban,High,258485.6,Yes,No,2
2116.0249686788184,3,2,14,Suburban,Medium,359811.86,Yes,Yes,5
1275.957829251338,4,2,12,Suburban,Medium,249990.48,Yes,No,3
1296.2681128117224,1,3,49,Rural,Low,148004.06,Yes,No,5
1640.777889373782,4,3,30,Suburban,Low,268484.51,Yes,No,5
1893.2764241440764,2,2,16,Rural,Medium,298472.63,Yes,No,3
2155.4537827990025,2,3,68,Urban,Medium,308268.27,No,No,3
2737.678108474776,2,1,63,Suburban,Medium,397781.83,No,Yes,2
2428.8298116010096,2,1,0,Urban,Medium,420408.08,No,Yes,3
1920.0307350182864,1,3,39,Suburban,High,288869.66,No,Yes,2
1990.4918960486557,5,1,24,Rural,Medium,335665.26,Yes,Yes,2
1498.7353176810957,2,3,70,Suburban,Medium,206579.42,Yes,Yes,2
1990.743432003805,2,1,49,Rural,Medium,272286.68,Yes,Yes,4
1855.6706805399308,5,2,89,Suburban,High,258155.53,No,No,5
2161.3592801690447,2,2,39,Urban,Low,304658.38,Yes,Yes,4
1586.3845282238385,5,1,99,Rural,Low,177393.46,No,Yes,4
2259.673257120586,2,3,87,Rural,High,297111.99,No,No,3
2766.369456501289,5,1,78,Rural,Medium,402524.95,Yes,No,1
1945.6199257715712,5,3,96,Suburban,Medium,278114.13,Yes,No,1
2200.8558610494706,3,1,26,Urban,High,370613.97,No,No,1
2345.0719958555565,4,2,10,Suburban,Low,402195.52,No,No,5
1799.389764057082,5,2,10,Rural,Medium,319892.84,Yes,No,3
2112.0462409052084,2,2,49,Rural,High,319295.6,Yes,Yes,2
2006.2962003908974,1,1,72,Urban,High,270143.12,No,Yes,1
2048.838049274416,5,1,68,Rural,High,304852.94,Yes,No,3
1613.4951080722667,2,3,89,Rural,Medium,183764.94,Yes,Yes,5
2012.2550871294713,5,1,98,Urban,High,282352.84,No,Yes,4
2248.999145622725,3,2,14,Rural,Low,349169.21,Yes,No,3
2725.571803897521,1,1,92,Rural,Medium,337356.83,No,Yes,2
2479.6354130426034,1,1,85,Rural,High,331023.49,Yes,No,2
3076.5912287557785,2,3,37,Rural,Medium,453364.3,No,Yes,3
1616.3262185559752,4,2,68,Urban,Medium,249925.77,No,No,1
2436.1603183603393,3,2,26,Urban,High,429220.33,Yes,Yes,4
2091.671002869176,4,2,76,Rural,Low,287511.28,No,Yes,4
3094.901466608836,1,2,8,Rural,Low,470053.78,Yes,Yes,5
1595.8508573224242,1,1,51,Suburban,Low,227719.76,No,Yes,2
1580.139078909612,4,2,89,Urban,High,245370.53,No,Yes,3
1700.303677277989,5,2,32,Rural,High,292898.37,No,Yes,1
938.0521378450965,4,1,16,Urban,Medium,196836.27,No,No,5
1737.1224891596194,4,2,31,Suburban,Low,288650.53,Yes,No,4
1620.433669223151,5,2,28,Urban,Medium,289247.36,No,Yes,3
2075.1968932381037,5,2,25,Rural,Medium,364658.33,Yes,Yes,3
2170.87798788858,5,1,75,Urban,Low,309417.46,No,No,3
2938.085419607943,3,3,30,Suburban,Medium,476331.25,Yes,No,1
2475.2119190930252,1,1,21,Urban,Low,368102.69,Yes,Yes,1
1711.5481721687984,1,2,89,Urban,Medium,227670.12,Yes,No,1
1550.792664325821,5,1,96,Rural,High,195153.41,Yes,Yes,2
2245.9595857532527,5,3,15,Urban,High,417312.21,Yes,Yes,4
1339.883396489679,3,3,71,Suburban,Low,181800.76,No,No,4
2915.7293829271766,3,1,79,Suburban,High,404735.8,No,Yes,4
2589.7200603606434,2,2,29,Suburban,Medium,404178.42,No,Yes,3
