Age,Gender,Annual_Income,Spending_Score,Purchase_History,Frequency_Visits,Product_Preference,Membership,Online_Shopping,Feedback_Score,Customer_Segment
59,Male,31330,27,1661,25,Fashion,Yes,Frequent,3,High-Value
69,Female,45670,66,582,6,Fashion,Yes,Occasional,4,Mid-Value
51,Male,40492,71,1251,28,Fashion,No,Frequent,5,High-Value
36,Male,71906,68,845,10,Electronics,No,Occasional,3,High-Value
58,Female,30718,88,1045,28,Electronics,No,Rarely,3,High-Value
57,Male,28385,6,1136,10,Electronics,Yes,Frequent,4,Mid-Value
61,Female,55909,55,521,12,Electronics,No,Never,1,Mid-Value
22,Female,69754,85,1310,48,Electronics,No,Occasional,1,High-Value
19,Male,55167,100,355,9,Others,No,Rarely,4,High-Value
42,Male,69531,27,1633,2,Home & Living,Yes,Rarely,3,High-Value
50,Male,50488,9,755,5,Electronics,No,Never,3,Mid-Value
19,Female,54608,89,1323,38,Fashion,No,Frequent,1,High-Value
36,Male,20433,55,520,1,Home & Living,No,Never,1,Mid-Value
21,Male,72743,57,1389,21,Others,Yes,Rarely,5,High-Value
47,Female,58801,89,315,47,Electronics,No,Never,3,High-Value
47,Male,57509,69,580,20,Others,Yes,Rarely,5,High-Value
60,Female,52611,47,926,45,Electronics,Yes,Frequent,2,High-Value
40,Female,39712,96,985,34,Others,Yes,Never,1,High-Value
66,Male,16990,32,692,7,Groceries,No,Occasional,1,Mid-Value
44,Female,68434,16,-189,46,Electronics,No,Rarely,2,Mid-Value
58,Male,20296,65,1419,20,Groceries,No,Frequent,5,High-Value
38,Female,64979,31,1116,49,Groceries,No,Frequent,2,High-Value
49,Male,44257,76,1213,38,Home & Living,Yes,Never,4,High-Value
44,Male,75825,90,1027,40,Electronics,No,Occasional,2,High-Value
55,Male,56125,57,666,40,Fashion,Yes,Frequent,5,High-Value
27,Female,39285,39,1253,18,Home & Living,No,Rarely,4,High-Value
69,Male,48814,53,1840,40,Fashion,Yes,Never,3,High-Value
33,Female,30550,36,1849,3,Others,Yes,Frequent,3,High-Value
18,Female,52546,73,1061,21,Electronics,Yes,Frequent,3,High-Value
66,Male,47471,4,975,45,Home & Living,No,Frequent,3,High-Value
61,Female,56491,11,331,18,Electronics,Yes,Occasional,5,Mid-Value
19,Male,63711,98,917,4,Home & Living,Yes,Rarely,4,High-Value
27,Male,62420,46,895,9,Home & Living,Yes,Occasional,4,High-Value
65,Male,73730,39,1046,36,Others,Yes,Rarely,2,High-Value
55,Male,56314,19,804,6,Groceries,Yes,Never,3,Mid-Value
57,Male,58140,94,1758,39,Electronics,Yes,Occasional,1,High-Value
34,Female,57766,2,1375,10,Others,No,Rarely,4,High-Value
50,Female,51097,25,6,25,Fashion,No,Frequent,1,Low-Value
25,Female,71048,72,-48,13,Fashion,No,Frequent,1,Mid-Value
23,Female,13933,50,615,31,Electronics,No,Rarely,5,High-Value
37,Male,32239,78,1805,7,Home & Living,No,Never,1,High-Value
51,Female,62118,66,1130,43,Groceries,Yes,Never,5,High-Value
58,Male,28112,83,1590,13,Electronics,Yes,Frequent,2,High-Value
31,Female,40456,40,1351,25,Fashion,Yes,Frequent,1,High-Value
66,Male,55322,89,398,27,Fashion,Yes,Rarely,4,High-Value
48,Female,57207,84,1130,52,Home & Living,No,Rarely,5,High-Value
43,Male,50180,26,453,1,Groceries,No,Never,2,Low-Value
53,Male,61627,35,1274,18,Groceries,Yes,Frequent,3,High-Value
57,Male,50757,39,64,36,Fashion,Yes,Occasional,2,Mid-Value
36,Female,34091,96,527,28,Others,Yes,Occasional,5,High-Value
65,Male,62707,78,1413,43,Fashion,No,Occasional,3,High-Value
24,Female,34392,9,701,32,Others,Yes,Rarely,3,High-Value
66,Male,58562,6,1376,35,Fashion,No,Occasional,5,High-Value
38,Female,61507,20,563,52,Home & Living,No,Frequent,1,High-Value
59,Female,65304,43,768,6,Groceries,No,Frequent,4,Mid-Value
53,Female,43853,2,1139,19,Others,No,Rarely,2,High-Value
65,Male,30074,93,1378,49,Groceries,No,Rarely,1,High-Value
29,Male,65761,67,1613,52,Fashion,No,Occasional,1,High-Value
53,Male,41356,63,1135,11,Groceries,No,Occasional,3,High-Value
45,Female,60557,12,812,24,Fashion,No,Frequent,2,High-Value
26,Male,70474,48,1583,30,Electronics,No,Occasional,2,High-Value
25,Female,86505,37,745,45,Fashion,No,Never,5,High-Value
49,Male,46050,66,1458,2,Groceries,Yes,Occasional,5,High-Value
30,Female,47177,70,1535,39,Home & Living,No,Rarely,4,High-Value
23,Male,53960,39,415,37,Fashion,Yes,Occasional,2,High-Value
41,Female,59503,49,1600,22,Electronics,Yes,Frequent,1,High-Value
48,Female,57611,4,1496,6,Groceries,Yes,Never,5,High-Value
29,Female,46540,66,568,22,Home & Living,No,Never,2,High-Value
26,Male,35585,3,1787,24,Electronics,Yes,Occasional,4,High-Value
27,Female,60003,9,1810,33,Fashion,Yes,Never,3,High-Value
59,Female,48549,83,931,27,Fashion,Yes,Frequent,1,High-Value
22,Female,32637,20,1375,22,Home & Living,No,Never,2,High-Value
32,Male,37772,44,911,22,Home & Living,No,Occasional,1,High-Value
46,Male,32503,53,1835,9,Home & Living,Yes,Occasional,5,High-Value
42,Female,39159,45,702,7,Groceries,Yes,Frequent,2,Mid-Value
45,Female,32429,93,920,30,Home & Living,No,Rarely,5,High-Value
63,Male,65012,83,473,41,Home & Living,No,Occasional,5,High-Value
58,Male,29943,60,1056,35,Others,No,Never,5,High-Value
40,Male,28828,60,943,31,Groceries,No,Never,1,High-Value
56,Male,37662,1,1711,28,Electronics,No,Frequent,1,High-Value
55,Female,12284,71,556,21,Electronics,Yes,Occasional,3,High-Value
19,Male,44247,55,1110,42,Fashion,No,Frequent,3,High-Value
38,Male,58914,57,1049,41,Electronics,No,Never,5,High-Value
52,Male,47888,1,1041,26,Others,No,Rarely,4,High-Value
68,Male,78955,9,591,45,Groceries,Yes,Rarely,2,High-Value
33,Male,74067,30,1275,50,Others,Yes,Rarely,3,High-Value
57,Male,53611,100,333,28,Fashion,No,Occasional,2,High-Value
58,Female,61054,53,512,35,Others,No,Occasional,5,High-Value
58,Male,58513,81,498,25,Electronics,No,Rarely,5,High-Value
26,Male,72892,52,468,20,Electronics,No,Never,3,Mid-Value
55,Female,46518,45,1544,37,Groceries,No,Frequent,1,High-Value
42,Male,52751,35,1196,35,Electronics,No,Rarely,5,High-Value
21,Female,62467,14,506,45,Home & Living,Yes,Frequent,1,High-Value
60,Male,56698,49,1271,33,Fashion,No,Never,2,High-Value
65,Male,55049,78,1405,50,Others,Yes,Occasional,3,High-Value
41,Female,29749,39,672,52,Home & Living,No,Never,1,High-Value
65,Male,41397,11,438,42,Groceries,No,Occasional,3,Mid-Value
19,Male,70132,38,1420,2,Fashion,Yes,Occasional,2,High-Value
28,Male,33850,87,792,38,Electronics,Yes,Occasional,5,High-Value
63,Female,38476,2,2179,1,Others,Yes,Never,2,High-Value
33,Male,63127,47,1077,44,Home & Living,Yes,Never,1,High-Value
29,Male,81748,35,1323,50,Fashion,No,Frequent,1,High-Value
25,Male,38735,1,739,40,Groceries,No,Occasional,2,High-Value
59,Male,70369,76,1571,16,Others,Yes,Never,5,High-Value
20,Female,36477,3,1777,37,Electronics,No,Frequent,2,High-Value
21,Male,34388,31,1392,8,Home & Living,Yes,Occasional,2,High-Value
42,Female,46977,44,1695,14,Electronics,No,Frequent,1,High-Value
39,Male,61115,80,904,27,Home & Living,Yes,Never,1,High-Value
26,Male,56632,10,1002,12,Home & Living,Yes,Occasional,2,Mid-Value
25,Male,48907,23,1625,44,Fashion,Yes,Rarely,2,High-Value
54,Female,80952,32,968,7,Groceries,Yes,Occasional,1,High-Value
51,Female,24188,53,851,22,Home & Living,Yes,Rarely,5,High-Value
25,Female,50297,92,1075,24,Fashion,Yes,Occasional,1,High-Value
38,Male,50678,80,1337,26,Electronics,No,Frequent,3,High-Value
69,Male,61709,30,454,19,Fashion,Yes,Occasional,1,Mid-Value
44,Male,58372,40,1758,44,Groceries,No,Occasional,1,High-Value
37,Female,53142,51,152,9,Electronics,Yes,Rarely,3,Mid-Value
57,Male,36766,76,917,18,Groceries,No,Rarely,2,High-Value
38,Female,51738,27,553,21,Others,Yes,Rarely,1,Mid-Value
33,Male,43629,73,1094,23,Others,Yes,Occasional,4,High-Value
54,Female,20636,46,1053,35,Home & Living,No,Never,4,High-Value
21,Male,51856,83,1284,42,Home & Living,No,Never,3,High-Value
50,Male,46462,32,1410,12,Others,Yes,Never,3,High-Value
39,Female,53745,73,608,28,Home & Living,Yes,Frequent,2,High-Value
59,Female,49875,67,561,39,Home & Living,No,Rarely,5,High-Value
64,Male,27233,64,1758,27,Groceries,Yes,Frequent,2,High-Value
54,Female,43971,38,925,24,Home & Living,No,Occasional,1,High-Value
40,Female,51724,25,996,23,Others,No,Occasional,2,High-Value
28,Male,50199,77,1431,34,Fashion,No,Rarely,1,High-Value
56,Female,79221,78,1446,17,Groceries,Yes,Rarely,5,High-Value
21,Male,52884,72,1474,7,Electronics,No,Occasional,4,High-Value
51,Female,74986,51,972,38,Groceries,Yes,Never,1,High-Value
39,Female,45020,83,1377,31,Others,Yes,Occasional,4,High-Value
19,Female,42254,28,1616,13,Others,No,Frequent,3,High-Value
52,Female,90465,39,1149,18,Fashion,No,Never,4,High-Value
56,Male,57022,31,1188,37,Groceries,No,Frequent,1,High-Value
67,Female,50125,83,569,1,Groceries,Yes,Never,3,High-Value
69,Female,71419,52,1080,21,Home & Living,No,Frequent,2,High-Value
62,Female,84623,58,1274,34,Groceries,Yes,Never,5,High-Value
43,Male,52092,53,1320,18,Others,Yes,Never,3,High-Value
22,Female,57034,59,636,29,Others,No,Frequent,4,High-Value
22,Female,65167,30,1289,34,Home & Living,No,Occasional,5,High-Value
38,Female,48947,9,726,37,Home & Living,Yes,Rarely,2,High-Value
27,Male,66694,92,768,48,Groceries,Yes,Rarely,2,High-Value
22,Male,39472,90,711,22,Fashion,Yes,Rarely,4,High-Value
22,Female,33031,62,1684,11,Electronics,No,Frequent,5,High-Value
67,Female,63506,95,1376,18,Groceries,Yes,Occasional,2,High-Value
58,Male,55604,1,1750,14,Electronics,Yes,Occasional,2,High-Value
31,Male,51378,13,1723,18,Fashion,Yes,Occasional,5,High-Value
61,Male,79647,11,1015,28,Fashion,Yes,Rarely,2,High-Value
62,Female,46794,65,847,5,Others,No,Frequent,5,High-Value
49,Female,44579,60,1380,6,Home & Living,No,Never,2,High-Value
39,Female,52108,67,919,41,Home & Living,Yes,Rarely,1,High-Value
19,Male,50764,46,556,4,Electronics,No,Frequent,4,Mid-Value
36,Female,68173,28,1888,12,Fashion,No,Never,3,High-Value
66,Male,82090,71,1268,52,Groceries,No,Occasional,5,High-Value
31,Male,81418,25,108,45,Others,No,Occasional,5,Mid-Value
59,Male,59644,73,1160,4,Electronics,Yes,Never,5,High-Value
38,Male,74075,47,1284,46,Electronics,Yes,Rarely,2,High-Value
66,Male,17267,63,1437,49,Groceries,No,Occasional,3,High-Value
29,Male,39381,31,1485,44,Others,No,Occasional,3,High-Value
62,Male,63195,65,560,45,Others,Yes,Frequent,5,High-Value
43,Female,57375,74,872,3,Electronics,No,Rarely,5,High-Value
36,Male,71604,73,408,51,Home & Living,No,Occasional,2,High-Value
20,Female,82264,28,702,32,Electronics,Yes,Rarely,2,High-Value
24,Male,62767,5,1150,42,Others,No,Frequent,1,High-Value
43,Male,42535,95,430,11,Home & Living,Yes,Rarely,1,High-Value
35,Male,36538,17,924,42,Others,Yes,Frequent,5,High-Value
57,Female,25304,59,910,42,Others,No,Frequent,5,High-Value
46,Male,53907,21,1408,45,Electronics,Yes,Rarely,5,High-Value
44,Female,43629,86,462,2,Others,No,Never,4,Mid-Value
56,Male,66688,53,1615,10,Groceries,Yes,Never,1,High-Value
56,Female,38518,30,894,47,Fashion,Yes,Rarely,5,High-Value
35,Male,46340,32,1433,22,Fashion,No,Rarely,2,High-Value
36,Female,52306,50,984,40,Fashion,No,Frequent,1,High-Value
60,Male,53742,50,1132,33,Home & Living,No,Never,2,High-Value
62,Female,78379,75,642,10,Others,Yes,Rarely,3,High-Value
49,Female,51910,23,138,19,Others,Yes,Occasional,5,Low-Value
59,Male,38459,28,677,43,Electronics,No,Occasional,1,High-Value
33,Male,50549,96,1906,16,Home & Living,Yes,Never,5,High-Value
35,Male,80819,53,1100,34,Home & Living,No,Occasional,3,High-Value
45,Male,53362,1,457,19,Fashion,No,Occasional,3,Mid-Value
57,Male,82485,35,1486,21,Others,Yes,Rarely,4,High-Value
64,Male,32602,10,-11,44,Home & Living,Yes,Rarely,5,Mid-Value
53,Female,46380,82,1055,49,Electronics,No,Never,4,High-Value
20,Male,61702,81,1427,2,Groceries,Yes,Never,3,High-Value
69,Female,29891,67,832,37,Electronics,No,Occasional,4,High-Value
67,Female,43235,21,1170,16,Groceries,Yes,Never,4,High-Value
24,Male,52216,33,669,23,Home & Living,Yes,Frequent,1,High-Value
48,Female,51335,36,1394,46,Fashion,Yes,Never,3,High-Value
61,Female,26172,36,1156,35,Home & Living,No,Occasional,3,High-Value
68,Male,45038,44,1921,4,Electronics,Yes,Rarely,4,High-Value
51,Female,39369,44,573,37,Electronics,No,Rarely,1,High-Value
63,Female,60172,18,613,21,Groceries,No,Never,2,Mid-Value
36,Female,80125,42,563,30,Fashion,No,Rarely,3,High-Value
60,Male,55546,89,602,22,Home & Living,No,Rarely,1,High-Value
27,Female,43848,85,618,6,Electronics,Yes,Frequent,5,High-Value
27,Male,45075,90,1735,45,Others,Yes,Never,5,High-Value
28,Female,35711,37,999,19,Groceries,No,Occasional,1,High-Value
25,Male,20511,2,1386,25,Electronics,Yes,Rarely,2,High-Value
27,Female,28992,24,419,42,Others,No,Frequent,5,High-Value
25,Male,58106,73,554,30,Groceries,Yes,Frequent,2,High-Value
63,Female,42038,72,951,1,Groceries,No,Rarely,5,High-Value
26,Female,36891,70,1254,41,Home & Living,No,Never,4,High-Value
32,Male,58203,26,1328,30,Home & Living,Yes,Rarely,1,High-Value
18,Female,49764,11,848,19,Fashion,No,Rarely,3,Mid-Value
68,Male,63111,35,1258,17,Electronics,Yes,Never,3,High-Value
63,Male,62829,8,1194,10,Groceries,No,Never,3,High-Value
69,Male,19395,74,502,22,Electronics,Yes,Rarely,2,High-Value
30,Male,55018,5,893,5,Electronics,Yes,Rarely,3,Mid-Value
21,Male,44221,66,688,41,Groceries,Yes,Rarely,1,High-Value
37,Female,51119,44,1617,38,Groceries,No,Frequent,1,High-Value
51,Female,35199,38,1486,8,Groceries,Yes,Occasional,5,High-Value
18,Female,77633,83,821,28,Electronics,No,Never,5,High-Value
58,Female,46414,33,1389,32,Fashion,No,Rarely,2,High-Value
54,Female,43007,53,870,23,Others,No,Never,5,High-Value
18,Female,49000,23,1054,15,Electronics,Yes,Never,2,High-Value
63,Male,69315,87,1073,15,Home & Living,No,Occasional,4,High-Value
44,Male,60020,95,1121,21,Electronics,Yes,Occasional,4,High-Value
65,Female,32843,24,755,14,Fashion,Yes,Occasional,4,Mid-Value
32,Female,66580,95,384,17,Electronics,Yes,Occasional,3,High-Value
20,Female,41194,19,1681,36,Groceries,No,Frequent,4,High-Value
27,Male,63824,42,1157,45,Electronics,Yes,Never,3,High-Value
29,Female,41087,13,297,28,Home & Living,No,Never,5,Mid-Value
66,Female,53252,83,1578,28,Others,No,Frequent,5,High-Value
69,Female,61562,27,648,20,Home & Living,No,Frequent,5,Mid-Value
59,Male,75015,46,1268,20,Fashion,No,Never,5,High-Value
20,Female,56113,24,726,51,Others,No,Rarely,1,High-Value
22,Male,37060,41,1015,28,Groceries,No,Never,5,High-Value
46,Female,41998,33,1194,23,Home & Living,No,Rarely,2,High-Value
35,Female,63993,62,1136,37,Others,No,Rarely,3,High-Value
50,Male,40543,50,798,8,Fashion,Yes,Never,5,High-Value
31,Female,91277,38,601,36,Electronics,No,Never,2,High-Value
36,Male,67386,51,969,48,Groceries,Yes,Frequent,3,High-Value
33,Female,50124,89,1511,2,Groceries,No,Frequent,5,High-Value
35,Male,67779,95,1203,22,Home & Living,Yes,Never,5,High-Value
38,Female,51203,47,1076,45,Electronics,No,Rarely,4,High-Value
54,Male,60000,45,382,36,Others,Yes,Frequent,2,High-Value
38,Female,53955,33,850,49,Others,No,Occasional,5,High-Value
31,Female,35536,63,673,2,Groceries,No,Rarely,3,Mid-Value
21,Female,38996,91,824,15,Groceries,Yes,Frequent,2,High-Value
69,Female,79377,60,872,36,Home & Living,Yes,Rarely,5,High-Value
58,Male,42162,46,1355,22,Fashion,Yes,Never,4,High-Value
61,Male,18616,32,1118,11,Fashion,Yes,Rarely,3,High-Value
37,Male,72936,46,943,13,Fashion,Yes,Occasional,3,High-Value
23,Male,60153,74,327,6,Home & Living,Yes,Rarely,2,Mid-Value
22,Female,66606,57,-127,10,Electronics,Yes,Rarely,4,Low-Value
62,Female,59977,63,598,32,Fashion,No,Frequent,5,High-Value
30,Male,34971,82,614,33,Electronics,Yes,Never,5,High-Value
68,Male,42143,64,429,3,Fashion,Yes,Frequent,1,Mid-Value
39,Male,53100,72,854,3,Home & Living,Yes,Never,2,High-Value
20,Female,29122,59,1777,41,Home & Living,Yes,Never,5,High-Value
24,Male,38587,22,1247,34,Home & Living,Yes,Frequent,4,High-Value
27,Male,38977,17,1599,39,Others,Yes,Rarely,3,High-Value
39,Male,58207,31,882,30,Home & Living,No,Occasional,3,High-Value
53,Female,66205,40,921,25,Electronics,No,Rarely,2,High-Value
55,Male,73535,98,1590,33,Fashion,Yes,Occasional,5,High-Value
65,Female,27505,62,996,13,Electronics,Yes,Occasional,1,High-Value
24,Male,52448,14,2428,22,Others,Yes,Occasional,1,High-Value
25,Male,52606,51,1380,6,Fashion,Yes,Rarely,3,High-Value
64,Female,28181,56,1056,11,Home & Living,No,Occasional,1,High-Value
49,Male,53408,75,753,44,Electronics,Yes,Never,1,High-Value
64,Male,45303,9,1335,39,Groceries,No,Frequent,1,High-Value
48,Female,60301,55,1413,36,Groceries,Yes,Never,4,High-Value
26,Female,51641,48,1562,46,Home & Living,No,Frequent,4,High-Value
58,Male,48334,100,1786,36,Groceries,Yes,Rarely,3,High-Value
37,Male,62346,69,493,2,Electronics,Yes,Never,5,Mid-Value
59,Male,59308,68,1838,26,Others,Yes,Rarely,4,High-Value
68,Female,40497,91,1350,33,Electronics,No,Frequent,3,High-Value
49,Female,31565,34,1047,10,Fashion,Yes,Never,5,High-Value
61,Female,69086,41,581,6,Groceries,Yes,Never,5,Mid-Value
51,Female,11336,20,728,43,Home & Living,Yes,Occasional,3,High-Value
48,Female,47781,61,1814,29,Home & Living,Yes,Rarely,1,High-Value
69,Female,81046,7,770,26,Others,Yes,Frequent,4,Mid-Value
63,Male,38308,79,1414,18,Home & Living,Yes,Occasional,2,High-Value
60,Male,42292,50,1017,5,Electronics,No,Never,2,High-Value
48,Female,48956,73,819,14,Others,No,Rarely,3,High-Value
40,Male,68181,66,1464,42,Groceries,No,Rarely,3,High-Value
63,Female,39681,35,1498,46,Home & Living,Yes,Occasional,2,High-Value
30,Male,6310,26,652,21,Groceries,No,Frequent,4,Mid-Value
69,Male,58776,23,1623,51,Others,No,Frequent,4,High-Value
45,Male,40955,59,992,10,Electronics,No,Occasional,5,High-Value
54,Female,75411,60,598,41,Groceries,No,Occasional,2,High-Value
19,Male,70256,83,965,51,Home & Living,Yes,Rarely,1,High-Value
64,Male,11846,13,1039,33,Home & Living,No,Frequent,5,High-Value
31,Male,46018,21,1622,6,Groceries,Yes,Frequent,1,High-Value
28,Male,82455,8,507,49,Others,Yes,Never,5,High-Value
41,Male,82338,31,1497,28,Home & Living,Yes,Never,1,High-Value
62,Male,24315,64,2093,33,Others,Yes,Frequent,5,High-Value
68,Male,38561,29,587,42,Home & Living,No,Frequent,5,High-Value
27,Female,60596,26,1083,9,Groceries,Yes,Occasional,1,High-Value
41,Male,33283,52,961,15,Fashion,No,Occasional,3,High-Value
27,Female,66369,92,20,21,Electronics,Yes,Frequent,5,Mid-Value
50,Female,64401,99,689,40,Others,No,Never,5,High-Value
20,Male,43341,46,2054,37,Home & Living,Yes,Occasional,2,High-Value
22,Female,43869,43,887,24,Fashion,No,Never,4,High-Value
67,Female,63573,3,2194,16,Fashion,Yes,Occasional,1,High-Value
43,Female,53171,15,1552,33,Home & Living,No,Occasional,3,High-Value
68,Male,54717,94,1047,49,Others,No,Never,1,High-Value
61,Male,22215,25,1469,21,Groceries,No,Frequent,4,High-Value
45,Male,37167,2,578,8,Groceries,No,Occasional,1,Low-Value
51,Male,56646,27,1071,22,Electronics,No,Never,2,High-Value
69,Female,38290,100,947,15,Fashion,No,Frequent,5,High-Value
44,Female,97299,9,956,33,Electronics,Yes,Never,1,High-Value
52,Female,29572,56,1343,25,Home & Living,No,Never,4,High-Value
28,Male,58348,4,515,17,Fashion,No,Rarely,4,Mid-Value
59,Female,43956,67,94,48,Others,No,Occasional,2,High-Value
59,Male,33664,90,1263,1,Fashion,Yes,Frequent,1,High-Value
67,Female,35768,89,955,51,Home & Living,No,Occasional,5,High-Value
45,Male,46938,73,607,9,Groceries,Yes,Frequent,1,High-Value
26,Female,44812,43,1438,34,Others,Yes,Rarely,3,High-Value
51,Male,47705,18,1356,44,Others,No,Rarely,2,High-Value
44,Male,55554,41,-93,31,Home & Living,No,Rarely,5,Mid-Value
40,Female,44417,52,1337,2,Fashion,No,Rarely,2,High-Value
42,Female,40285,21,728,41,Groceries,Yes,Rarely,1,High-Value
18,Female,49853,95,294,10,Fashion,No,Rarely,5,High-Value
59,Female,47181,72,1255,9,Others,No,Rarely,2,High-Value
63,Male,68823,88,1856,12,Electronics,Yes,Rarely,3,High-Value
20,Male,55302,70,1826,5,Home & Living,Yes,Frequent,2,High-Value
37,Male,40132,51,1298,10,Others,Yes,Never,5,High-Value
34,Male,71062,28,786,5,Home & Living,Yes,Frequent,3,Mid-Value
56,Female,48257,69,1480,20,Home & Living,No,Occasional,2,High-Value
47,Female,39625,56,1673,33,Others,Yes,Occasional,3,High-Value
28,Female,39500,61,1769,18,Fashion,No,Rarely,1,High-Value
54,Female,57154,64,1565,5,Fashion,No,Occasional,5,High-Value
30,Male,47218,73,219,30,Electronics,Yes,Occasional,1,High-Value
53,Female,62889,75,691,1,Home & Living,No,Occasional,5,High-Value
38,Male,64140,47,975,7,Home & Living,No,Occasional,4,High-Value
69,Female,37318,54,1652,9,Groceries,Yes,Frequent,1,High-Value
37,Female,74878,72,695,34,Home & Living,No,Rarely,4,High-Value
59,Male,50461,1,1523,38,Fashion,Yes,Frequent,4,High-Value
41,Female,35223,4,855,49,Groceries,Yes,Occasional,2,High-Value
45,Female,44738,19,289,46,Electronics,No,Occasional,2,Mid-Value
36,Female,72480,21,629,15,Fashion,No,Occasional,5,Mid-Value
53,Male,33586,22,1337,8,Fashion,No,Rarely,3,High-Value
45,Male,53931,70,1742,29,Others,Yes,Occasional,2,High-Value
27,Male,42122,22,995,17,Groceries,Yes,Frequent,5,High-Value
48,Male,57896,100,826,2,Others,No,Frequent,1,High-Value
61,Female,59482,34,907,51,Others,Yes,Frequent,3,High-Value
66,Female,56084,65,1129,50,Home & Living,Yes,Rarely,5,High-Value
23,Male,64619,21,461,20,Home & Living,Yes,Occasional,4,Mid-Value
62,Female,39418,64,464,27,Fashion,Yes,Rarely,2,High-Value
29,Male,50075,87,806,31,Fashion,No,Occasional,5,High-Value
44,Female,55623,56,698,1,Electronics,No,Occasional,5,Mid-Value
25,Female,52716,52,1238,18,Electronics,Yes,Never,3,High-Value
45,Male,46733,65,1585,7,Fashion,Yes,Occasional,1,High-Value
37,Male,32340,5,1202,25,Groceries,No,Frequent,1,High-Value
27,Female,52589,27,1039,25,Others,No,Never,4,High-Value
57,Male,53400,23,414,2,Groceries,Yes,Occasional,4,Low-Value
67,Male,64669,48,646,21,Others,Yes,Occasional,3,High-Value
27,Female,67034,12,1050,13,Fashion,Yes,Occasional,1,High-Value
47,Female,51640,72,1267,9,Electronics,No,Occasional,5,High-Value
56,Female,36743,83,103,14,Others,Yes,Rarely,1,Mid-Value
20,Female,30980,42,878,3,Others,No,Never,2,Mid-Value
68,Female,67344,59,-315,32,Home & Living,No,Never,3,Mid-Value
42,Female,34643,47,765,36,Others,No,Rarely,5,High-Value
24,Male,36654,18,-151,45,Home & Living,Yes,Never,1,Mid-Value
30,Male,56298,31,1078,34,Home & Living,No,Never,3,High-Value
